name,email,password,career,semester,status,user_code
Estudiante 1,estudiante1@example.com,123456,Ingeniería en sistemas,1,activo,UG-20001
Estudiante 2,estudiante2@example.com,123456,Administración de Empresas,2,activo,UG-20002
Estudiante 3,estudiante3@example.com,123456,Contaduría Pública,3,activo,UG-20003
Estudiante 4,estudiante4@example.com,123456,Trabajo social,4,activo,UG-20004
Estudiante 5,estudiante5@example.com,123456,Licenciatura infantil,5,activo,UG-20005
Estudiante 6,estudiante6@example.com,123456,Ingeniería en sistemas,6,activo,UG-20006
Estudiante 7,estudiante7@example.com,123456,Administración de Empresas,7,activo,UG-20007
Estudiante 8,estudiante8@example.com,123456,Contaduría Pública,8,activo,UG-20008
Estudiante 9,estudiante9@example.com,123456,Trabajo social,9,activo,UG-20009
Estudiante 10,estudiante10@example.com,123456,Licenciatura infantil,10,activo,UG-20010
Estudiante 11,estudiante11@example.com,123456,Ingeniería en sistemas,1,activo,UG-20011
Estudiante 12,estudiante12@example.com,123456,Administración de Empresas,2,activo,UG-20012
Estudiante 13,estudiante13@example.com,123456,Contaduría Pública,3,activo,UG-20013
Estudiante 14,estudiante14@example.com,123456,Trabajo social,4,activo,UG-20014
Estudiante 15,estudiante15@example.com,123456,Licenciatura infantil,5,activo,UG-20015
Estudiante 16,estudiante16@example.com,123456,Ingeniería en sistemas,6,activo,UG-20016
Estudiante 17,estudiante17@example.com,123456,Administración de Empresas,7,activo,UG-20017
Estudiante 18,estudiante18@example.com,123456,Contaduría Pública,8,activo,UG-20018
Estudiante 19,estudiante19@example.com,123456,Trabajo social,9,activo,UG-20019
Estudiante 20,estudiante20@example.com,123456,Licenciatura infantil,10,activo,UG-20020
Estudiante 21,estudiante21@example.com,123456,Ingeniería en sistemas,1,activo,UG-20021
Estudiante 22,estudiante22@example.com,123456,Administración de Empresas,2,activo,UG-20022
Estudiante 23,estudiante23@example.com,123456,Contaduría Pública,3,activo,UG-20023
Estudiante 24,estudiante24@example.com,123456,Trabajo social,4,activo,UG-20024
Estudiante 25,estudiante25@example.com,123456,Licenciatura infantil,5,activo,UG-20025
Estudiante 26,estudiante26@example.com,123456,Ingeniería en sistemas,6,activo,UG-20026
Estudiante 27,estudiante27@example.com,123456,Administración de Empresas,7,activo,UG-20027
Estudiante 28,estudiante28@example.com,123456,Contaduría Pública,8,activo,UG-20028
