name,email,password,visitReason,status,user_code
Visitante 1,visitante1@example.com,123456,Visita académica,activo,UV-10001
Visitante 2,visitante2@example.com,123456,Evento,activo,UV-10002
Visitante 3,visitante3@example.com,123456,Reunión,activo,UV-10003
Visitante 4,visitante4@example.com,123456,Trámite,activo,UV-10004
Visitante 5,visitante5@example.com,123456,Biblioteca,activo,UV-10005
Visitante 6,visitante6@example.com,123456,Visita académica,activo,UV-10006
Visitante 7,visitante7@example.com,123456,Evento,activo,UV-10007
Visitante 8,visitante8@example.com,123456,Reunión,activo,UV-10008
Visitante 9,visitante9@example.com,123456,Trámite,activo,UV-10009
Visitante 10,visitante10@example.com,123456,Biblioteca,activo,UV-10010
Visitante 11,visitante11@example.com,123456,Visita académica,activo,UV-10011
Visitante 12,visitante12@example.com,123456,Evento,activo,UV-10012
Visitante 13,visitante13@example.com,123456,Reunión,activo,UV-10013
Visitante 14,visitante14@example.com,123456,Trámite,activo,UV-10014
Visitante 15,visitante15@example.com,123456,Biblioteca,activo,UV-10015
Visitante 16,visitante16@example.com,123456,Visita académica,activo,UV-10016
Visitante 17,visitante17@example.com,123456,Evento,activo,UV-10017
Visitante 18,visitante18@example.com,123456,Reunión,activo,UV-10018
Visitante 19,visitante19@example.com,123456,Trámite,activo,UV-10019
Visitante 20,visitante20@example.com,123456,Biblioteca,activo,UV-10020
Visitante 21,visitante21@example.com,123456,Visita académica,activo,UV-10021
Visitante 22,visitante22@example.com,123456,Evento,activo,UV-10022
Visitante 23,visitante23@example.com,123456,Reunión,activo,UV-10023
Visitante 24,visitante24@example.com,123456,Trámite,activo,UV-10024
Visitante 25,visitante25@example.com,123456,Biblioteca,activo,UV-10025
Visitante 26,visitante26@example.com,123456,Visita académica,activo,UV-10026
Visitante 27,visitante27@example.com,123456,Evento,activo,UV-10027
Visitante 28,visitante28@example.com,123456,Reunión,activo,UV-10028
Visitante 29,visitante29@example.com,123456,Trámite,activo,UV-10029
Visitante 30,visitante30@example.com,123456,Biblioteca,activo,UV-10030
Visitante 31,visitante31@example.com,123456,Visita académica,activo,UV-10031
Visitante 32,visitante32@example.com,123456,Evento,activo,UV-10032
Visitante 33,visitante33@example.com,123456,Reunión,activo,UV-10033
Visitante 34,visitante34@example.com,123456,Trámite,activo,UV-10034
Visitante 35,visitante35@example.com,123456,Biblioteca,activo,UV-10035
Visitante 36,visitante36@example.com,123456,Visita académica,activo,UV-10036
Visitante 37,visitante37@example.com,123456,Evento,activo,UV-10037
Visitante 38,visitante38@example.com,123456,Reunión,activo,UV-10038
Visitante 39,visitante39@example.com,123456,Trámite,activo,UV-10039
Visitante 40,visitante40@example.com,123456,Biblioteca,activo,UV-10040
Visitante 41,visitante41@example.com,123456,Visita académica,activo,UV-10041
Visitante 42,visitante42@example.com,123456,Evento,activo,UV-10042
Visitante 43,visitante43@example.com,123456,Reunión,activo,UV-10043
Visitante 44,visitante44@example.com,123456,Trámite,activo,UV-10044
Visitante 45,visitante45@example.com,123456,Biblioteca,activo,UV-10045
